Bin Content and Error unit: (Events/[day x 100t x N_h])						
						
Nbins	N_h	Energy 	Width	Content		Error 		Residuals 
     	   	[keV] 	[keV] 	       		     		[(Data-fit)/sigma]
107	198	467.571	2.46727	5.50379		0.0972182	-0.595066
108	199	470.038	2.46835	5.51753		0.0973395	0.744666
109	200	472.506	2.46943	4.58506		0.0887338	-1.78406
110	201	474.976	2.47052	5.47116		0.0969296	1.89578
111	202	477.446	2.4716	5.02296		0.0928745	2.4632
112	203	479.918	2.47268	4.57647		0.0886507	0.0454561
113	204	482.391	2.47377	4.17807		0.0847041	-0.0821753
114	205	484.864	2.47485	3.81916		0.0809843	-0.432908
115	206	487.339	2.47593	3.60107		0.0786381	-0.912336
116	207	489.815	2.47702	3.29025		0.0751677	-0.74592
117	208	492.292	2.4781	3.19752		0.0741009	0.998705
118	209	494.77	2.47918	2.91761		0.0707832	-0.804129
119	210	497.25	2.48027	2.82488		0.0696493	0.919076
120	211	499.73	2.48135	2.4986		0.0655036	0.0530329
121	212	502.211	2.48243	2.30112		0.0628617	0.589721
122	213	504.694	2.48352	2.08474		0.0598333	0.47236
123	214	507.177	2.4846	1.94736		0.0578283	0.765947
124	215	509.662	2.48568	1.80483		0.0556718	0.858338
125	216	512.147	2.48677	1.6726		0.0535936	1.92159
126	217	514.634	2.48785	1.50259		0.0507969	0.900731
127	218	517.122	2.48893	1.34461		0.0480523	0.968447
128	219	519.611	2.49002	1.12308		0.043916	-0.937137
129	220	522.101	2.4911	1.05611		0.0425864	0.240327
130	221	524.592	2.49218	0.920446	0.0397572	-1.47517
131	222	527.084	2.49327	0.848322	0.0381678	-0.971602
132	223	529.578	2.49435	0.801956	0.0371101	0.395615
133	224	532.072	2.49543	0.702355	0.0347292	0.501792
134	225	534.567	2.49652	0.66801		0.0338695	0.524933
135	226	537.064	2.4976	0.56841		0.0312426	-0.594853
136	227	539.561	2.49868	0.542651	0.0305265	0.348303
137	228	542.06	2.49977	0.501437	0.0293444	0.622132
138	229	544.56	2.50085	0.441333	0.0275296	-0.479306
139	230	547.061	2.50193	0.434464	0.0273145	1.15761
140	231	549.563	2.50302	0.417292	0.0267693	1.08119
141	232	552.066	2.5041	0.353754	0.0246472	0.111758
142	233	554.57	2.50518	0.360623	0.0248853	0.947506
143	234	557.075	2.50627	0.300519	0.0227171	-0.338195
144	235	559.581	2.50735	0.314257	0.0232305	0.796626
145	236	562.089	2.50844	0.305671	0.022911	1.19114
146	237	564.597	2.50952	0.267891	0.0214484	-0.294823
147	238	567.107	2.5106	0.291933	0.0223902	1.51058
148	239	569.617	2.51169	0.266174	0.0213796	0.776805
149	240	572.129	2.51277	0.271326	0.0215855	1.53546
150	241	574.642	2.51385	0.249001	0.0206784	0.422834
151	242	577.155	2.51494	0.283346	0.0220585	2.29178
152	243	579.67	2.51602	0.249001	0.0206784	1.15794
153	244	582.186	2.5171	0.233546	0.0200264	0.626932
154	245	584.703	2.51819	0.240415	0.0203188	1.03525
155	246	587.222	2.51927	0.204353	0.018733	-0.724361
156	247	589.741	2.52035	0.242132	0.0203912	1.21545
157	248	592.261	2.52144	0.192332	0.0181737	-0.856325
158	249	594.783	2.52252	0.212939	0.0191225	0.0448592
159	250	597.305	2.5236	0.182029	0.0176802	-0.0303705
160	251	599.829	2.52469	0.223243	0.0195797	0.192533
161	252	602.354	2.52577	0.197484	0.0184155	-0.790375
162	253	604.879	2.52685	0.176877	0.0174282	-1.53226
163	254	607.406	2.52794	0.190615	0.0180924	-0.442969
164	255	609.934	2.52902	0.22496		0.0196548	1.49218
165	256	612.463	2.5301	0.20607		0.0188115	0.253803
166	257	614.993	2.53119	0.195767	0.0183352	-0.110441
167	258	617.524	2.53227	0.180311	0.0175966	-0.698628
168	259	620.057	2.53335	0.182029	0.0176802	-0.691592
169	260	622.59	2.53444	0.18718		0.0179286	-0.348673
170	261	625.124	2.53552	0.199201	0.0184954	0.212237
171	262	627.66	2.5366	0.195767	0.0183352	0.344635
172	263	630.197	2.53769	0.197484	0.0184155	0.558808
173	264	632.734	2.53877	0.157987	0.0164713	-1.92434
174	265	635.273	2.53985	0.154553	0.0162913	-1.87913
175	266	637.813	2.54094	0.154553	0.0162913	-1.88944
176	267	640.354	2.54202	0.199201	0.0184954	0.845203
177	268	642.896	2.5431	0.171725	0.0171725	-0.826896
178	269	645.439	2.54419	0.183746	0.0177634	0.280837
179	270	647.983	2.54527	0.190615	0.0180924	0.813243
180	271	650.528	2.54635	0.17516		0.0173434	0.118956
181	272	653.075	2.54744	0.147684	0.0159251	-1.41545
182	273	655.622	2.54852	0.212939	0.0191225	1.93919
183	274	658.171	2.5496	0.154553	0.0162913	-0.831082
184	275	660.72	2.55069	0.176877	0.0174282	0.839317
185	276	663.271	2.55177	0.15627		0.0163815	-0.469276
186	277	665.823	2.55285	0.164856	0.0168255	0.0882201
187	278	668.376	2.55394	0.149401	0.0160174	-0.675478
