Bin Content and Error unit: (Events/[day x 100t x N_h])						
						
Nbins	N_h	Energy 	Width	Content		Error 		Residuals 
     	   	[keV] 	[keV] 	       		     		[(Data-fit)/sigma]
449	540	1374.55	2.83779	0.013738	0.00485712	-0.0473125
450	541	1377.39	2.83887	0.0120208	0.00454342	-0.467665
451	542	1380.23	2.83996	0.0240415	0.00642536	1.56423
452	543	1383.07	2.84104	0.0103035	0.00420639	-0.821504
453	544	1385.91	2.84212	0.00858625	0.00383989	-1.29433
454	545	1388.75	2.84321	0.013738	0.00485712	-0.0595155
455	546	1391.59	2.84429	0.006869	0.0034345	-1.77415
456	547	1394.44	2.84537	0.00515175	0.00297436	-2.63316
457	548	1397.28	2.84646	0.013738	0.00485712	0.185478
458	549	1400.13	2.84754	0.0120208	0.00454342	-0.376598
459	550	1402.98	2.84862	0.0120208	0.00454342	-0.216846
460	551	1405.83	2.84971	0.0154553	0.00515175	0.395384
461	552	1408.68	2.85079	0.013738	0.00485712	0.216109
462	553	1411.53	2.85187	0.0171725	0.00543042	0.733923
463	554	1414.38	2.85296	0.0223243	0.00619163	1.47444
464	555	1417.23	2.85404	0.0120208	0.00454342	-0.109427
465	556	1420.08	2.85512	0.0120208	0.00454342	-0.341576
466	557	1422.94	2.85621	0.00515175	0.00297436	-2.61217
467	558	1425.8	2.85729	0.0103035	0.00420639	-0.548569
468	559	1428.65	2.85837	0.0120208	0.00454342	-0.134159
469	560	1431.51	2.85946	0.00515175	0.00297436	-2.31224
470	561	1434.37	2.86054	0.0154553	0.00515175	0.507743
471	562	1437.23	2.86162	0.013738	0.00485712	0.245021
472	563	1440.09	2.86271	0.0120208	0.00454342	-0.0911963
473	564	1442.96	2.86379	0.0154553	0.00515175	0.567375
474	565	1445.82	2.86487	0.0223243	0.00619163	1.68054
475	566	1448.68	2.86596	0.0171725	0.00543042	0.859188
476	567	1451.55	2.86704	0.0154553	0.00515175	0.664041
477	568	1454.42	2.86813	0.013738	0.00485712	0.317656
478	569	1457.29	2.86921	0.0154553	0.00515175	0.631435
479	570	1460.16	2.87029	0.00515175	0.00297436	-2.29349
480	571	1463.03	2.87138	0.0034345	0.00242856	-3.63377
481	572	1465.9	2.87246	0.013738	0.00485712	0.299206
482	573	1468.77	2.87354	0.0120208	0.00454342	0.0906046
483	574	1471.64	2.87463	0.0154553	0.00515175	0.754203
484	575	1474.52	2.87571	0.013738	0.00485712	0.493286
485	576	1477.39	2.87679	0.006869	0.0034345	-1.34401
486	577	1480.27	2.87788	0.00171725	0.00171725	-5.43689
487	578	1483.15	2.87896	0.006869	0.0034345	-1.29846
488	579	1486.03	2.88004	0.013738	0.00485712	0.63889
489	580	1488.91	2.88113	0.013738	0.00485712	0.417759
490	581	1491.79	2.88221	0.00858625	0.00383989	-0.65299
491	582	1494.67	2.88329	0.00858625	0.00383989	-0.551888
492	583	1497.55	2.88438	0.0171725	0.00543042	1.10718
493	584	1500.44	2.88546	0.0103035	0.00420639	-0.0333012
494	585	1503.32	2.88654	0.006869	0.0034345	-0.9876
495	586	1506.21	2.88763	0.006869	0.0034345	-1.18199
496	587	1509.1	2.88871	0.0103035	0.00420639	-0.186689
497	588	1511.99	2.88979	0.006869	0.0034345	-1.14245
498	589	1514.88	2.89088	0.0188898	0.00569547	1.41513
499	590	1517.77	2.89196	0.00515175	0.00297436	-2.07669
500	591	1520.66	2.89304	0.0120208	0.00454342	0.385069
501	592	1523.55	2.89413	0.013738	0.00485712	0.747228
502	593	1526.45	2.89521	0.00515175	0.00297436	-1.82391
503	594	1529.34	2.89629	0.0103035	0.00420639	0.0629703
504	595	1532.24	2.89738	0.006869	0.0034345	-0.986641
505	596	1535.13	2.89846	0.0034345	0.00242856	-2.79621
506	597	1538.03	2.89954	0.0103035	0.00420639	0.133639
507	598	1540.93	2.90063	0.00858625	0.00383989	-0.284499
508	599	1543.83	2.90171	0.0120208	0.00454342	0.482227
509	600	1546.74	2.90279	0.00858625	0.00383989	-0.241849
510	601	1549.64	2.90388	0.00858625	0.00383989	-0.471657
511	602	1552.54	2.90496	0.0188898	0.00569547	1.59702
512	603	1555.45	2.90604	0.0154553	0.00515175	1.11637
513	604	1558.35	2.90713	0.0034345	0.00242856	-2.47037
514	605	1561.26	2.90821	0.013738	0.00485712	0.836605
515	606	1564.17	2.90929	0.0034345	0.00242856	-2.47135
516	607	1567.08	2.91038	0.0034345	0.00242856	-2.4287
517	608	1569.99	2.91146	0.006869	0.0034345	-0.679687
518	609	1572.9	2.91254	0.0103035	0.00420639	0.0483306
519	610	1575.81	2.91363	0.006869	0.0034345	-0.771556
520	611	1578.73	2.91471	0.0034345	0.00242856	-2.18794
521	612	1581.64	2.91579	0.0154553	0.00515175	1.34201
522	613	1584.56	2.91688	0.0103035	0.00420639	0.213462
523	614	1587.47	2.91796	0.006869	0.0034345	-0.640123
524	615	1590.39	2.91905	0.00515175	0.00297436	-1.27191
525	616	1593.31	2.92013	0.00515175	0.00297436	-1.36551
526	617	1596.23	2.92121	0.00858625	0.00383989	-0.168875
527	618	1599.15	2.9223	0.0103035	0.00420639	0.369879
528	619	1602.07	2.92338	0.013738	0.00485712	1.059
529	620	1605	2.92446	0.0034345	0.00242856	-2.32242
530	621	1607.92	2.92555	0.0034345	0.00242856	-2.27297
531	622	1610.85	2.92663	0.0034345	0.00242856	-1.90893
532	623	1613.77	2.92771	0.013738	0.00485712	1.07691
533	624	1616.7	2.9288	0.0103035	0.00420639	0.511697
534	625	1619.63	2.92988	0.006869	0.0034345	-0.25678
535	626	1622.56	2.93096	0.00858625	0.00383989	0.125437
536	627	1625.49	2.93205	0.00858625	0.00383989	0.0808423
537	628	1628.42	2.93313	0.0034345	0.00242856	-1.97237
538	629	1631.36	2.93421	0.006869	0.0034345	-0.478238
539	630	1634.29	2.9353	0.0120208	0.00454342	0.807432
540	631	1637.23	2.93638	0.006869	0.0034345	-0.330867
541	632	1640.16	2.93746	0.006869	0.0034345	-0.353475
542	633	1643.1	2.93855	0.00858625	0.00383989	0.26359
543	634	1646.04	2.93963	0.0171725	0.00543042	1.7332
544	635	1648.98	2.94071	0.0034345	0.00242856	-1.77257
545	636	1651.92	2.9418	0.0034345	0.00242856	-1.89524
546	637	1654.86	2.94288	0.0034345	0.00242856	-1.56319
547	638	1657.8	2.94396	0.006869	0.0034345	-0.191724
548	639	1660.75	2.94505	0.00171725	0.00171725	-3.73031
549	640	1663.69	2.94613	0.0034345	0.00242856	-1.72719
550	641	1666.64	2.94721	0.006869	0.0034345	-0.530572
551	642	1669.59	2.9483	0.0154553	0.00515175	1.65044
552	643	1672.53	2.94938	0.0034345	0.00242856	-1.74944
553	644	1675.48	2.95046	0.0154553	0.00515175	1.67365
554	645	1678.43	2.95155	0.0034345	0.00242856	-1.36192
555	646	1681.38	2.95263	0.00858625	0.00383989	0.351865
556	647	1684.34	2.95371	0.00171725	0.00171725	-3.07499
557	648	1687.29	2.9548	0.00515175	0.00297436	-0.50493
558	649	1690.25	2.95588	0.00858625	0.00383989	0.362761
559	650	1693.2	2.95696	0.0103035	0.00420639	0.672704
560	651	1696.16	2.95805	0.00858625	0.00383989	0.318036
561	652	1699.12	2.95913	0.0103035	0.00420639	0.876996
562	653	1702.08	2.96021	0.0120208	0.00454342	1.1694
563	654	1705.04	2.9613	0.00858625	0.00383989	0.189527
564	655	1708	2.96238	0.006869	0.0034345	0.110976
565	656	1710.96	2.96346	0.00858625	0.00383989	0.559056
566	657	1713.92	2.96455	0.00858625	0.00383989	0.330706
567	658	1716.89	2.96563	0.006869	0.0034345	0.0867692
568	659	1719.85	2.96671	0.00171725	0.00171725	-2.53968
569	660	1722.82	2.9678	0.00515175	0.00297436	-0.400973
570	661	1725.79	2.96888	0.006869	0.0034345	0.113777
571	662	1728.76	2.96997	0.00515175	0.00297436	-0.235983
572	663	1731.73	2.97105	0.006869	0.0034345	0.304668
573	664	1734.7	2.97213	0.00515175	0.00297436	-0.360795
574	665	1737.67	2.97322	0.0103035	0.00420639	1.0631
575	666	1740.64	2.9743	0.0034345	0.00242856	-1.24911
576	667	1743.62	2.97538	0.00515175	0.00297436	0.144488
577	668	1746.59	2.97647	0.006869	0.0034345	0.0859528
578	669	1749.57	2.97755	0.00171725	0.00171725	-2.58261
579	670	1752.55	2.97863	0.00515175	0.00297436	-0.488298
580	671	1755.53	2.97972	0.006869	0.0034345	0.00564591
581	672	1758.51	2.9808	0.00858625	0.00383989	0.683858
582	673	1761.49	2.98188	0.0103035	0.00420639	0.960968
583	674	1764.47	2.98297	0.006869	0.0034345	0.282433
584	675	1767.45	2.98405	0.00515175	0.00297436	-0.239328
585	676	1770.44	2.98513	0.006869	0.0034345	0.432222
586	677	1773.42	2.98622	0.0171725	0.00543042	2.08933
587	678	1776.41	2.9873	0.0223243	0.00619163	2.71124
588	679	1779.39	2.98838	0.0034345	0.00242856	-0.974462
589	680	1782.38	2.98947	0.00515175	0.00297436	-0.091648
590	681	1785.37	2.99055	0.00515175	0.00297436	-0.127798
591	682	1788.36	2.99163	0.006869	0.0034345	0.43497
592	683	1791.35	2.99272	0.0034345	0.00242856	-0.9209
593	684	1794.35	2.9938	0.013738	0.00485712	1.59657
594	685	1797.34	2.99488	0.00171725	0.00171725	-2.18042
595	686	1800.34	2.99597	0.0034345	0.00242856	-0.680577
596	687	1803.33	2.99705	0.0034345	0.00242856	-0.831939
597	688	1806.33	2.99813	0.00171725	0.00171725	-2.07868
598	689	1809.33	2.99922	0		0		0
599	690	1812.33	3.0003	0.00515175	0.00297436	0.0434132
600	691	1815.33	3.00138	0.00858625	0.00383989	0.84726
601	692	1818.33	3.00247	0.00858625	0.00383989	0.852347
602	693	1821.33	3.00355	0.0034345	0.00242856	-0.549853
603	694	1824.33	3.00463	0.00515175	0.00297436	0.0391844
604	695	1827.34	3.00572	0.0034345	0.00242856	-0.600906
605	696	1830.34	3.0068	0.0034345	0.00242856	-0.967137
606	697	1833.35	3.00788	0.013738	0.00485712	1.87627
607	698	1836.36	3.00897	0.00171725	0.00171725	-1.98736
608	699	1839.37	3.01005	0.00515175	0.00297436	-0.0411967
609	700	1842.38	3.01113	0.0103035	0.00420639	1.18703
610	701	1845.39	3.01222	0.00515175	0.00297436	-0.239655
611	702	1848.4	3.0133	0.00515175	0.00297436	-0.0307991
612	703	1851.41	3.01438	0.0034345	0.00242856	-0.840253
613	704	1854.43	3.01547	0.00515175	0.00297436	-0.111094
614	705	1857.44	3.01655	0.006869	0.0034345	0.186018
615	706	1860.46	3.01763	0.00515175	0.00297436	-0.0288632
616	707	1863.48	3.01872	0.00171725	0.00171725	-2.35988
617	708	1866.5	3.0198	0.00171725	0.00171725	-1.58111
618	709	1869.52	3.02089	0.0103035	0.00420639	1.22023
619	710	1872.54	3.02197	0.006869	0.0034345	0.684231
620	711	1875.56	3.02305	0.0034345	0.00242856	-0.657645
621	712	1878.58	3.02414	0.00515175	0.00297436	0.109825
622	713	1881.61	3.02522	0.00515175	0.00297436	0.0429577
623	714	1884.63	3.0263	0.00515175	0.00297436	-0.124158
624	715	1887.66	3.02739	0.00515175	0.00297436	-0.0721778
625	716	1890.69	3.02847	0.006869	0.0034345	0.615026
626	717	1893.71	3.02955	0.0120208	0.00454342	1.58784
627	718	1896.74	3.03064	0.0103035	0.00420639	1.12256
628	719	1899.77	3.03172	0.00171725	0.00171725	-2.80645
629	720	1902.81	3.0328	0.00515175	0.00297436	0.151199
630	721	1905.84	3.03389	0.00171725	0.00171725	-2.02918
631	722	1908.87	3.03497	0.0034345	0.00242856	-0.568855
632	723	1911.91	3.03605	0.006869	0.0034345	0.499047
633	724	1914.94	3.03714	0.006869	0.0034345	0.353356
634	725	1917.98	3.03822	0.006869	0.0034345	0.341869
635	726	1921.02	3.0393	0.00171725	0.00171725	-1.88039
636	727	1924.06	3.04039	0.00171725	0.00171725	-2.22016
637	728	1927.1	3.04147	0.0034345	0.00242856	-0.85362
638	729	1930.14	3.04255	0.0034345	0.00242856	-1.34608
639	730	1933.18	3.04364	0.00171725	0.00171725	-2.29683
640	731	1936.23	3.04472	0.00515175	0.00297436	-0.170536
641	732	1939.27	3.0458	0.0034345	0.00242856	-1.2564
642	733	1942.32	3.04689	0.00858625	0.00383989	0.714487
643	734	1945.36	3.04797	0.006869	0.0034345	0.505158
644	735	1948.41	3.04905	0		0		0
645	736	1951.46	3.05014	0.00171725	0.00171725	-2.38913
646	737	1954.51	3.05122	0.00515175	0.00297436	-0.360876
647	738	1957.56	3.0523	0.00858625	0.00383989	0.953261
648	739	1960.61	3.05339	0.00858625	0.00383989	0.734232
649	740	1963.67	3.05447	0.00858625	0.00383989	0.708038
650	741	1966.72	3.05555	0.00858625	0.00383989	0.562289
651	742	1969.78	3.05664	0.006869	0.0034345	0.29159
652	743	1972.83	3.05772	0.0103035	0.00420639	1.10863
653	744	1975.89	3.0588	0.013738	0.00485712	1.56812
654	745	1978.95	3.05989	0.0034345	0.00242856	-1.12718
655	746	1982.01	3.06097	0.0120208	0.00454342	1.3936
656	747	1985.07	3.06205	0.0034345	0.00242856	-1.14626
657	748	1988.13	3.06314	0.00515175	0.00297436	-0.609198
658	749	1991.2	3.06422	0.0034345	0.00242856	-0.931235
659	750	1994.26	3.0653	0.00171725	0.00171725	-2.298
660	751	1997.33	3.06639	0.006869	0.0034345	0.153251
661	752	2000.39	3.06747	0.00858625	0.00383989	0.575117
662	753	2003.46	3.06855	0.00858625	0.00383989	0.373701
663	754	2006.53	3.06964	0.006869	0.0034345	0.017483
664	755	2009.6	3.07072	0.0034345	0.00242856	-1.09469
665	756	2012.67	3.07181	0.00515175	0.00297436	-0.34959
666	757	2015.74	3.07289	0.00515175	0.00297436	-0.492744
667	758	2018.81	3.07397	0.00858625	0.00383989	0.66997
668	759	2021.89	3.07506	0.0034345	0.00242856	-0.960602
669	760	2024.96	3.07614	0.0103035	0.00420639	0.825451
670	761	2028.04	3.07722	0.00515175	0.00297436	-0.631732
671	762	2031.12	3.07831	0.00515175	0.00297436	-0.504854
672	763	2034.19	3.07939	0.00858625	0.00383989	0.573494
673	764	2037.27	3.08047	0.00858625	0.00383989	0.801135
674	765	2040.35	3.08156	0.0034345	0.00242856	-1.13291
675	766	2043.44	3.08264	0.0034345	0.00242856	-1.6067
676	767	2046.52	3.08372	0.0034345	0.00242856	-1.25893
677	768	2049.6	3.08481	0.006869	0.0034345	0.20921
678	769	2052.69	3.08589	0.0034345	0.00242856	-0.930018
679	770	2055.77	3.08697	0.00858625	0.00383989	0.497904
680	771	2058.86	3.08806	0.006869	0.0034345	0.369599
681	772	2061.95	3.08914	0.0103035	0.00420639	0.83418
682	773	2065.04	3.09022	0.013738	0.00485712	1.52815
683	774	2068.13	3.09131	0.0103035	0.00420639	0.941225
684	775	2071.22	3.09239	0.00515175	0.00297436	-0.408576
685	776	2074.31	3.09347	0.00171725	0.00171725	-2.8856
686	777	2077.4	3.09456	0.00858625	0.00383989	0.737456
687	778	2080.5	3.09564	0.00515175	0.00297436	-0.57028
688	779	2083.59	3.09672	0.00515175	0.00297436	-0.519371
689	780	2086.69	3.09781	0.0034345	0.00242856	-1.56774
690	781	2089.79	3.09889	0.00858625	0.00383989	0.384277
691	782	2092.89	3.09997	0.0103035	0.00420639	0.833444
692	783	2095.99	3.10106	0.00858625	0.00383989	0.296899
693	784	2099.09	3.10214	0.0034345	0.00242856	-1.30361
694	785	2102.19	3.10322	0.00515175	0.00297436	-0.652586
695	786	2105.29	3.10431	0.00171725	0.00171725	-2.57509
696	787	2108.4	3.10539	0.00858625	0.00383989	0.538811
697	788	2111.5	3.10647	0.00515175	0.00297436	-0.359969
698	789	2114.61	3.10756	0.0034345	0.00242856	-1.20494
699	790	2117.72	3.10864	0.00515175	0.00297436	-0.489743
700	791	2120.83	3.10972	0.00171725	0.00171725	-3.18355
701	792	2123.94	3.11081	0.0120208	0.00454342	1.23581
702	793	2127.05	3.11189	0.006869	0.0034345	0.0564189
703	794	2130.16	3.11297	0.0120208	0.00454342	1.02503
704	795	2133.27	3.11406	0.00858625	0.00383989	0.324859
705	796	2136.39	3.11514	0.006869	0.0034345	-0.326695
706	797	2139.5	3.11622	0.0034345	0.00242856	-1.58092
707	798	2142.62	3.11731	0.006869	0.0034345	0.0416177
708	799	2145.74	3.11839	0.0034345	0.00242856	-1.22011
709	800	2148.85	3.11947	0.006869	0.0034345	0.0416511
710	801	2151.97	3.12056	0.00858625	0.00383989	0.207289
711	802	2155.09	3.12164	0.013738	0.00485712	1.37855
712	803	2158.22	3.12273	0.00858625	0.00383989	0.479918
713	804	2161.34	3.12381	0.0034345	0.00242856	-1.67202
714	805	2164.46	3.12489	0.013738	0.00485712	1.22296
715	806	2167.59	3.12598	0.00515175	0.00297436	-0.902436
716	807	2170.71	3.12706	0.00515175	0.00297436	-0.88506
717	808	2173.84	3.12814	0.006869	0.0034345	-0.0824313
718	809	2176.97	3.12923	0.013738	0.00485712	1.22644
719	810	2180.1	3.13031	0.006869	0.0034345	-0.357123
720	811	2183.23	3.13139	0.00858625	0.00383989	0.105907
721	812	2186.36	3.13248	0.00515175	0.00297436	-0.852414
722	813	2189.49	3.13356	0.00171725	0.00171725	-3.29997
723	814	2192.62	3.13464	0.0120208	0.00454342	0.852996
724	815	2195.76	3.13573	0.0034345	0.00242856	-1.99532
725	816	2198.9	3.13681	0.006869	0.0034345	-0.288343
726	817	2202.03	3.13789	0.0103035	0.00420639	0.443279
727	818	2205.17	3.13898	0.0120208	0.00454342	0.896343
728	819	2208.31	3.14006	0.0154553	0.00515175	1.27488
729	820	2211.45	3.14114	0.013738	0.00485712	1.08696
730	821	2214.59	3.14223	0.006869	0.0034345	-0.395867
731	822	2217.73	3.14331	0.006869	0.0034345	-0.688328
732	823	2220.88	3.14439	0.00858625	0.00383989	0.119789
733	824	2224.02	3.14548	0.0034345	0.00242856	-2.55083
734	825	2227.17	3.14656	0.013738	0.00485712	1.00943
735	826	2230.31	3.14764	0.0103035	0.00420639	0.0487639
736	827	2233.46	3.14873	0.0103035	0.00420639	0.42325
737	828	2236.61	3.14981	0.00515175	0.00297436	-1.57141
738	829	2239.76	3.15089	0.0103035	0.00420639	0.0737629
739	830	2242.91	3.15198	0.006869	0.0034345	-0.550222
740	831	2246.06	3.15306	0.013738	0.00485712	0.800811
741	832	2249.21	3.15414	0.0120208	0.00454342	0.585223
742	833	2252.37	3.15523	0.0034345	0.00242856	-2.63545
743	834	2255.52	3.15631	0.0154553	0.00515175	1.13432
744	835	2258.68	3.15739	0.00858625	0.00383989	-0.412343
745	836	2261.84	3.15848	0.006869	0.0034345	-0.815212
746	837	2265	3.15956	0.006869	0.0034345	-0.798428
747	838	2268.16	3.16064	0.0103035	0.00420639	-0.178918
748	839	2271.32	3.16173	0.0171725	0.00543042	1.40438
749	840	2274.48	3.16281	0.0103035	0.00420639	-0.0362063
750	841	2277.64	3.16389	0.0120208	0.00454342	0.330074
751	842	2280.8	3.16498	0.00858625	0.00383989	-0.679337
752	843	2283.97	3.16606	0.0034345	0.00242856	-2.82007
753	844	2287.14	3.16714	0.0103035	0.00420639	-0.0390451
754	845	2290.3	3.16823	0.0120208	0.00454342	0.357768
755	846	2293.47	3.16931	0.013738	0.00485712	0.60577
756	847	2296.64	3.17039	0.00858625	0.00383989	-0.670815
757	848	2299.81	3.17148	0.0120208	0.00454342	0.33109
758	849	2302.98	3.17256	0.0034345	0.00242856	-3.33195
759	850	2306.15	3.17365	0.0171725	0.00543042	1.07333
760	851	2309.33	3.17473	0.0188898	0.00569547	1.49844
761	852	2312.5	3.17581	0.0034345	0.00242856	-3.0218
762	853	2315.68	3.1769	0.013738	0.00485712	0.533884
763	854	2318.86	3.17798	0.006869	0.0034345	-1.66813
764	855	2322.03	3.17906	0.0171725	0.00543042	1.12495
765	856	2325.21	3.18015	0.00171725	0.00171725	-5.2302
766	857	2328.39	3.18123	0.0171725	0.00543042	0.898319
767	858	2331.57	3.18231	0.0154553	0.00515175	0.895895
768	859	2334.76	3.1834	0.0154553	0.00515175	0.729708
769	860	2337.94	3.18448	0.00858625	0.00383989	-0.714814
770	861	2341.12	3.18556	0.0034345	0.00242856	-3.00526
771	862	2344.31	3.18665	0.006869	0.0034345	-1.30621
772	863	2347.5	3.18773	0.0120208	0.00454342	-0.148938
773	864	2350.68	3.18881	0.00858625	0.00383989	-0.883188
774	865	2353.87	3.1899	0.0120208	0.00454342	0.0826075
775	866	2357.06	3.19098	0.00858625	0.00383989	-1.09893
776	867	2360.25	3.19206	0.0120208	0.00454342	0.232741
777	868	2363.45	3.19315	0.0120208	0.00454342	-0.0071808
778	869	2366.64	3.19423	0.0171725	0.00543042	1.2747
779	870	2369.83	3.19531	0.00858625	0.00383989	-0.979701
780	871	2373.03	3.1964	0.0120208	0.00454342	0.263933
781	872	2376.23	3.19748	0.0034345	0.00242856	-3.29242
782	873	2379.42	3.19856	0.013738	0.00485712	0.394429
783	874	2382.62	3.19965	0.0120208	0.00454342	0.126117
784	875	2385.82	3.20073	0.0120208	0.00454342	0.0871441
785	876	2389.02	3.20181	0.0154553	0.00515175	0.589618
786	877	2392.22	3.2029	0.006869	0.0034345	-1.48512
787	878	2395.43	3.20398	0.006869	0.0034345	-1.24523
788	879	2398.63	3.20506	0.020607	0.00594873	1.51548
789	880	2401.84	3.20615	0.013738	0.00485712	0.553059
790	881	2405.04	3.20723	0.0120208	0.00454342	0.152875
791	882	2408.25	3.20831	0.013738	0.00485712	0.512871
792	883	2411.46	3.2094	0.0120208	0.00454342	0.120683
793	884	2414.67	3.21048	0.006869	0.0034345	-1.08392
794	885	2417.88	3.21156	0.0034345	0.00242856	-2.70263
795	886	2421.09	3.21265	0.006869	0.0034345	-1.0204
796	887	2424.3	3.21373	0.0171725	0.00543042	1.088
797	888	2427.51	3.21481	0.013738	0.00485712	0.731828
798	889	2430.73	3.2159	0.0120208	0.00454342	0.45841
799	890	2433.95	3.21698	0.0103035	0.00420639	0.00034616
800	891	2437.16	3.21806	0.006869	0.0034345	-1.17958
801	892	2440.38	3.21915	0.0103035	0.00420639	0.113318
802	893	2443.6	3.22023	0.013738	0.00485712	0.838586
803	894	2446.82	3.22131	0.00515175	0.00297436	-1.314
804	895	2450.04	3.2224	0.0154553	0.00515175	1.27676
805	896	2453.26	3.22348	0.013738	0.00485712	0.836048
806	897	2456.49	3.22457	0.00515175	0.00297436	-1.67415
807	898	2459.71	3.22565	0.0120208	0.00454342	0.615946
808	899	2462.94	3.22673	0.00858625	0.00383989	-0.0521695
809	900	2466.16	3.22782	0.0188898	0.00569547	1.77776
810	901	2469.39	3.2289	0.0120208	0.00454342	0.737966
811	902	2472.62	3.22998	0.0103035	0.00420639	0.430328
812	903	2475.85	3.23107	0.0034345	0.00242856	-1.89182
813	904	2479.08	3.23215	0.0103035	0.00420639	0.384344
814	905	2482.31	3.23323	0.00515175	0.00297436	-1.11478
815	906	2485.55	3.23432	0.006869	0.0034345	-0.442004
816	907	2488.78	3.2354	0.00858625	0.00383989	0.267661
817	908	2492.02	3.23648	0.006869	0.0034345	0.193887
818	909	2495.25	3.23757	0.006869	0.0034345	-0.27194
819	910	2498.49	3.23865	0.0034345	0.00242856	-1.08242
820	911	2501.73	3.23973	0.0120208	0.00454342	1.11008
821	912	2504.97	3.24082	0.0034345	0.00242856	-1.18139
822	913	2508.21	3.2419	0.0103035	0.00420639	1.09051
823	914	2511.45	3.24298	0.0034345	0.00242856	-1.0639
824	915	2514.69	3.24407	0.00171725	0.00171725	-2.47438
825	916	2517.94	3.24515	0.00515175	0.00297436	-0.22759
826	917	2521.18	3.24623	0.00515175	0.00297436	-0.035551
827	918	2524.43	3.24732	0.00515175	0.00297436	-0.0437378
828	919	2527.68	3.2484	0.00515175	0.00297436	-0.265163
829	920	2530.93	3.24948	0.0034345	0.00242856	-0.480011
830	921	2534.18	3.25057	0.0034345	0.00242856	-0.45444
831	922	2537.43	3.25165	0.0034345	0.00242856	-0.752455
832	923	2540.68	3.25273	0.0034345	0.00242856	-0.933782
833	924	2543.93	3.25382	0.00515175	0.00297436	0.0923791
834	925	2547.18	3.2549	0.0103035	0.00420639	1.31987
835	926	2550.44	3.25598	0.0034345	0.00242856	-0.675372
836	927	2553.7	3.25707	0		0		0
837	928	2556.95	3.25815	0.00171725	0.00171725	-1.23109
838	929	2560.21	3.25923	0.0034345	0.00242856	-0.178085
839	930	2563.47	3.26032	0.006869	0.0034345	0.935305
840	931	2566.73	3.2614	0.0034345	0.00242856	-0.420305
841	932	2569.99	3.26248	0.00171725	0.00171725	-0.606893
842	933	2573.25	3.26357	0.0034345	0.00242856	0.110284
843	934	2576.52	3.26465	0.0034345	0.00242856	-0.0235167
844	935	2579.78	3.26573	0.0034345	0.00242856	0.0800997
845	936	2583.05	3.26682	0.00171725	0.00171725	-0.945198
846	937	2586.31	3.2679	0.00515175	0.00297436	0.589644
847	938	2589.58	3.26898	0.00515175	0.00297436	0.815468
848	939	2592.85	3.27007	0.00515175	0.00297436	0.76303
849	940	2596.12	3.27115	0.0034345	0.00242856	0.322595
850	941	2599.39	3.27223	0.00515175	0.00297436	0.898489
851	942	2602.67	3.27332	0.006869	0.0034345	1.3366
852	943	2605.94	3.2744	0.0034345	0.00242856	0.579452
853	944	2609.21	3.27549	0		0		0
854	945	2612.49	3.27657	0.00171725	0.00171725	-0.373303
855	946	2615.76	3.27765	0		0		0
856	947	2619.04	3.27874	0.0034345	0.00242856	0.580718
857	948	2622.32	3.27982	0.0034345	0.00242856	0.570866
858	949	2625.6	3.2809	0.00171725	0.00171725	0.045619
859	950	2628.88	3.28199	0.0034345	0.00242856	0.730676
